Syncom 1,00553,172.53
Syncom 2,00634,79.49
Syncom 3,00858,141.65
Early Bird,01317,-48.06
ATS 1,02608,168.59
INTELSAT II F-2,02639,77.99
INTELSAT II F-3,02717,62.3
INTELSAT II F-4,02969,-106.64
ATS 3,03029,-105.52
OPS 2222 (AFP-827),03334,10
OV2-5,03428,146.59
ERS 21,03430,138.85
LES 6,03431,-66.1
Transtage 5,03432,-138.46
INTELSAT III F-2,03623,-144.08
OPS 0757,03691,-9.86
Transtage 17,03692,-6.88
OPS 3148 (AFP-827),03889,-99.24
INTELSAT III F-4,03947,171.71
ATS 5,04068,-69.98
JPL SR-28-3,21052,95.93
Skynet IA,04250,-107.34
INTELSAT III F-6,04297,-50.4
NATO IIA,04353,-105.13
INTELSAT III F-7,04376,22.21
OPS 5346 (AFP-720),04418,76.22
INTELSAT III F-8,04478,133.87
OPS 7329 (AFP-827),04510,-99.01
INTELSAT IV F2,04881,-155.29
NATO IIB,04902,-105.67
Transtage 20,05205,-13.97
DSP F2,05204,-159.55
DSCS II F-1,05587,-111.27
DSCS II F-2,05588,135.12
Transtage 21,05589,-62.28
INTELSAT IV F3,05709,27.64
INTELSAT IV F4,05775,-91.33
Transtage 22,05854,-78.72
DSP F3,05851,49.91
INTELSAT IV F5,06052,11.6
Anik A1,06278,18
OPS 6063 (AFP-720),06380,74.94
Anik A2,06437,93.39
DSP F4,06691,-1.34
Transtage 24,11940,-95.93
INTELSAT IV F7,06796,-72.58
DSCS II F-3,06973,43.63
DSCS II F-4,06974,99.28
Transtage 26,06976,-140.34
Kosmos-637,07229,-55.6
Blok DM,11567,4.33
Westar 1,07250,71.7
SMS 1,07298,98.8
ATS 6,07318,-158.03
Transtage 27,07324,47.76
Molniya-1S,07392,80.91
Blok DM,20836,39.6
Westar 2,07466,153.36
INTELSAT IV F8,07544,-167.85
Skynet IIB,07547,-0.75
Symphonie 1,07578,-84.18
SMS 2,07648,20.68
SVM-5,20835,23.54
Anik A3,07790,74.64
INTELSAT IV F1,07815,110.17
Symphonie 2,08132,65.77
INTELSAT IVA F1,08330,127.38
Kosmos-775,08357,37.94
Blok DM,11676,2.07
GOES 1,08366,-96.82
SVM-5,20962,-144.33
DSP F5,08482,30.13
Transtage 29,08516,50.61
Satcom 1,08476,119.94
Raduga,08513,65.82
Blok DM,11568,114.26
Hermes,08585,-141.52
INTELSAT IVA F2,08620,101.39
Marisat 101,08697,167.12
Transtage 30,08751,153.55
LES 8,08746,-104.71
LES 9,08747,-107.53
P74-1 Upper Truss Assembly,08832,81.28
P74-1 truss part,13753,111.11
Satcom 2,08774,-110.05
NATO 3A,08808,-94.89
Comstar D-1,08838,77.36
Marisat 103,08882,27.82
DSP F6,08916,-122.71
Transtage 28,08918,-173.24
Palapa A1,09009,-31.93
Comstar D-2,09047,139.78
Raduga,09416,72.82
Blok DM,17872,66.58
Marisat 102,09478,-67.84
Ekran,09503,59.46
Blok DM,11569,-5.56
NATO 3B,09785,-107.64
DSP F7,09803,-87.91
Transtage 23,09855,-70.84
Kiku 2,09852,-35.39
Palapa A2,09862,-109.4
DSCS II F-7,10000,-107.22
DSCS II F-8,10001,152.18
Transtage 32,10002,94.79
INTELSAT IVA F4,10024,-135.52
GOES 2,10061,166.69
SVM-5,20799,51.54
Himawari,10143,68.1
Raduga,10159,106.84
Blok DM,11570,-161.18
Sirio 1,10294,75.17
Ekran,10365,53.23
Blok DM,11571,53.36
Meteosat 1,10489,16.29
SVM-6A,13907,-50.88
OPS 4258 (AFP-472),10508,-43.35
Sakura,10516,-5.06
INTELSAT IVA F3,10557,113.27
IUE,10637,-100.77
IUE dust cover?,33000,-39.6
FLTSATCOM F1,10669,-39.62
INTELSAT IVA F6,10778,138.34
Yuri,10792,69.62
OTS 2,10855,-68.93
OPS 9454,10941,-11.31
GOES 3,10953,-109.75
SVM-5,20801,17.32
deb Ekran battery part,11581,125.97
Ekran 2 debris,12996,-178.54
Ekran 2 debris,29014,-33.2
Ekran 2 debris,33519,16.07
Comstar D-3,10975,130.6
Geos 2,10981,-91.23
Raduga,10987,86.99
Blok DM,11941,62.52
NATO 3C,11115,-49.22
DSCS II F-11,11144,-175.92
DSCS II F-12,11145,158.95
Transtage 36,11147,147.19
Anik B,11153,5.31
Gorizont,11158,56.42
Blok DM No. 17L,11926,-175.06
SCATHA,11256,-135.12
SCATHA AIM,29000,145.19
